article_id,question_id,text,answer_start,answer_end,question,context
1155025,545301,กลุ่ม ING ผู้ถือหุ้นใหญ่ของธนาคารทหารไทย(TMB) และกลุ่มธนชาตและสโกเทียแบงค์ ผู้ถือหุ้นใหญ่ของธนาคารธนชาต (TBANK),213,324,ธนาคารทหารไทยธนชาต จำกัด (มหาชน) หรือเรียกย่อว่า ทีเอ็มบีธนชาต (ทีทีบี)เป็นธนาคารของประเทศไทย เกิดจากการรวมกิจการระหว่างกลุ่มใด,"ธนาคารทหารไทยธนชาต จำกัด (มหาชน) (อังกฤษ: TMBThanachart Bank Public Company Limited; ชื่อในตลาดหลักทรัพย์ฯ อักษรย่อ: ttb) หรือเรียกย่อว่า ทีเอ็มบีธนชาต (ทีทีบี)[4] เป็นธนาคารของประเทศไทย เกิดจากการรวมกิจการระหว่างกลุ่ม ING ผู้ถือหุ้นใหญ่ของธนาคารทหารไทย(TMB) และกลุ่มธนชาตและสโกเทียแบงค์ ผู้ถือหุ้นใหญ่ของธนาคารธนชาต (TBANK)โดยลงนามในข้อตกลงสองฝ่ายในการควบรวมกิจการเข้าด้วยกันเป็นธนาคารเดียวซึ่งดำเนินการตามแผนงานเสร็จสมบูรณ์เมื่อวันที่ 5 กรกฎาคม พ.ศ. 2564 โดยสำหรับงานธุรกรรมบัตรเครดิต,บริการต่างประเทศ และบริการธนาคารบนแพลตฟอร์มดิจิทัลและออนไลน์มีการปิดปรับปรุงแอปพลิเคชันของทั้งสองธนาคารคือ TMB Touch และ T Connect เพื่อด"
1154995,545245,โคโยฮารุ โกโตเกะ,140,156,ซีรีส์หนังสือดาบพิฆาตอสูรมี ผู้แต่งชื่อว่าอะไร,ดาบพิฆาตอสูร (ญี่ปุ่น: 鬼滅の刃; โรมาจิ: Kimetsu no Yaiba; ทับศัพท์: คิเม็ตสึ โนะ ไยบะ) เป็นซีรีส์หนังสือการ์ตูนของประเทศญี่ปุ่น เขียนเรื่องโดย โคโยฮารุ โกโตเกะ เนื้อหากล่าวถึงคามาโดะ ทันจิโร่ เด็กหนุ่มผู้กลายเป็นนักล่าอสูรหลังจากครอบครัวของตนถูกอสูรฆ่าตายทั้งหมด ยกเว้นเพียงน้องสาวที่ชื่อเนะซึโกะเท่านั้นที่ได้กลายเป็นอสูรไป เขาจึงตั้งปณิธานว่าจะหาทางทำให้น้องสาวกลับมาเป็นมนุษย์ดังเดิมให้ได้ การ์ตูนชุดนี้เริ่มตีพิมพ์เป็นรายตอนในนิตยสารโชเน็งจัมป์รายสัปดาห์ 
1154995,545246,15 กุมภาพันธ์ พ.ศ. 2559,472,495,ซีรีส์หนังสือดาบพิฆาตอสูร เริ่มตีพิมพ์ครั้งแรกเมื่อไหร่,คามาโดะ ทันจิโร่ เด็กหนุ่มผู้กลายเป็นนักล่าอสูรหลังจากครอบครัวของตนถูกอสูรฆ่าตายทั้งหมด ยกเว้นเพียงน้องสาวที่ชื่อเนะซึโกะเท่านั้นที่ได้กลายเป็นอสูรไป เขาจึงตั้งปณิธานว่าจะหาทางทำให้น้องสาวกลับมาเป็นมนุษย์ดังเดิมให้ได้ การ์ตูนชุดนี้เริ่มตีพิมพ์เป็นรายตอนในนิตยสารโชเน็งจัมป์รายสัปดาห์ มาตั้งแต่วันที่ 15 กุมภาพันธ์ พ.ศ. 2559 และสำนักพิมพ์ชูเอฉะได้จัดพิมพ์ในรูปแบบหนังสือการ์ตูนรวมเล่ม (ทังโคบง) แล้ว จำนวน 19 เล่ม ณ เดือนกุมภาพันธ์ พ.ศ. 2563 และจัดจำหน่ายในประเทศไทย โดยสำนักพิมพ์สยามอินเตอร์คอมิกส์
1154996,545247,"377,975 ตารางกิโลเมตร",559,580,ญี่ปุ่นมีพื้นที่ทั้งหมดกี่ตารางกิโลเมตร,"ผ่นดินใหญ่เอเชีย ทางตะวันตกติดกับคาบสมุทรเกาหลีและประเทศจีน โดยมีทะเลญี่ปุ่นกั้น ส่วนทางทิศเหนือติดกับประเทศรัสเซีย มีทะเลโอค็อตสค์เป็นเส้นแบ่งแดน และทางทิศใต้ติดกับทะเลจีนตะวันออก, ทะเลฟิลิปปิน และประเทศไต้หวัน อาณาเขตของญี่ปุ่นตั้งอยู่ในบริเวณวงแหวนไฟ ครอบคลุมหมู่เกาะประมาณ 6,852 เกาะ ด้วยพื้นที่ 377,975 ตารางกิโลเมตร และประกอบไปด้วยเกาะหลักจำนวนห้าเกาะได้แก่ ฮนชู, ฮกไกโด, ชิโกกุ, คีวชู และ โอกินาวะ ซึ่งคิดเป็นพื้นที่ประมาณร้อยละ 97 ของประเทศ มีกรุงโตเกียวเป็นเมืองหลวงและเมืองที่มีประชากรมากที่สุด เมืองที่มีจำนวนประชากรรองลงมาได้แก่ โยโกฮามะ, โอซากะ, นาโงยะ, ซัปโปโระ, ฟูกูโอกะ, โคเบะ และ เกียวโต"
1154996,545248,"ฮนชู, ฮกไกโด, ชิโกกุ, คีวชู และ โอกินาวะ",623,663,ญี่ปุ่นประกอบด้วยเกาะหลักจำนวนห้าเกาะ ได้แก่เกาะอะไรบ้าง,"ีทะเลญี่ปุ่นกั้น ส่วนทางทิศเหนือติดกับประเทศรัสเซีย มีทะเลโอค็อตสค์เป็นเส้นแบ่งแดน และทางทิศใต้ติดกับทะเลจีนตะวันออก, ทะเลฟิลิปปิน และประเทศไต้หวัน อาณาเขตของญี่ปุ่นตั้งอยู่ในบริเวณวงแหวนไฟ ครอบคลุมหมู่เกาะประมาณ 6,852 เกาะ ด้วยพื้นที่ 377,975 ตารางกิโลเมตร และประกอบไปด้วยเกาะหลักจำนวนห้าเกาะได้แก่ ฮนชู, ฮกไกโด, ชิโกกุ, คีวชู และ โอกินาวะ ซึ่งคิดเป็นพื้นที่ประมาณร้อยละ 97 ของประเทศ มีกรุงโตเกียวเป็นเมืองหลวงและเมืองที่มีประชากรมากที่สุด เมืองที่มีจำนวนประชากรรองลงมาได้แก่ โยโกฮามะ, โอซากะ, นาโงยะ, ซัปโปโระ, ฟูกูโอกะ, โคเบะ และ เกียวโต"
1154997,545249,ดวงอาทิตย์,0,10,ดาวฤกษ์ ณ ใจกลางระบบสุริยะ คือดาวอะไร,"ดวงอาทิตย์ เป็นดาวฤกษ์ ณ ใจกลางระบบสุริยะ เป็นพลาสมาร้อนทรงเกือบกลมสมบูรณ์[4][5] โดยมีการเคลื่อนที่พาซึ่งผลิตสนามแม่เหล็กผ่านกระบวนการไดนาโม[6] ปัจจุบันเป็นแหล่งพลังงานสำคัญที่สุดสำหรับสิ่งมีชีวิตบนโลก มีเส้นผ่านศูนย์กลางประมาณ 1.39 ล้านกิโลเมตร ใหญ่กว่าโลก 109 เท่า และมีมวลประมาณ 330,000 เท่าของโลก คิดเป็นปร"
1154998,545250,สถานะที่ 4 ของสสาร,19,37,พลาสมาจัดได้ว่าเป็นสถานะที่เท่าไหร่ของสสาร,พลาสมาจัดได้ว่าเป็นสถานะที่ 4 ของสสาร เนื่องจากมีลักษณะเฉพาะที่แตกต่างไปจากสถานะอื่นอย่างชัดเจน พลาสมาประกอบด้วยอนุภาคที่มีประจุทั้งประจุบวกและลบ ในสัดส่วนที่ทำให้ประจุสุทธิเป็นศูนย์ การอยู่รวมกันของอนุภาคเหล่านี้เป็นแบบประหนึ่งเป็นกลาง (quasineutral) ซึ่งหมายความว่าอิเล็กตรอนและไอออนในบริเวณนั้น โดยรวมแล้วมีจำนวนเท่า ๆ กัน และแสดงพฤติ
1154999,545251,ภาพตามอารมณ์,26,38,คำว่า มังงะ แปลตรงตัวว่าอะไร,"คำว่า มังงะ แปลตรงตัวว่า ""ภาพตามอารมณ์"" ถูกใช้อย่างกว้างขวางเป็นครั้งแรกหลังจากจิตรกรอุคิโยเอะชื่อโฮคุไซตีพิมพ์หนังสือชื่อโฮคุไซมังงะในคริสต์ศตวรรษที่ 19 อย่างไรก็ดีนักประวัติศาสตร์บางกลุ่มเห็นว่ามังงะอาจมีประวัติยาวนานกว่านั้น โดยมีหลักฐานคือภาพจิกะ (แปลตรงตัวว่า ""ภาพตลก"") ซึ่งเป็นที่นิยมในศตวรรษที่ 12 มีลักษณะหลายประการคล้ายคลึงกับมัง"
1154999,545252,โฮคุไซมังงะ,122,133,มังงะ ถูกใช้อย่างกว้างขวางเป็นครั้งแรกหลังจากจิตรกรอุคิโยเอะชื่อโฮคุไซตีพิมพ์หนังสือชื่ออะไร,"คำว่า มังงะ แปลตรงตัวว่า ""ภาพตามอารมณ์"" ถูกใช้อย่างกว้างขวางเป็นครั้งแรกหลังจากจิตรกรอุคิโยเอะชื่อโฮคุไซตีพิมพ์หนังสือชื่อโฮคุไซมังงะในคริสต์ศตวรรษที่ 19 อย่างไรก็ดีนักประวัติศาสตร์บางกลุ่มเห็นว่ามังงะอาจมีประวัติยาวนานกว่านั้น โดยมีหลักฐานคือภาพจิกะ (แปลตรงตัวว่า ""ภาพตลก"") ซึ่งเป็นที่นิยมในศตวรรษที่ 12 มีลักษณะหลายประการคล้ายคลึงกับมังงะในปัจจุบัน อาทิ การเน้นเนื้อเรื่อง และการใช้เส้นที่เรียบง่ายแต่สละสลวย เป็นต้น"
1155000,545253,ปี 1939 ถึง 1945,131,147,สงครามโลกครั้งที่สอง เป็นสงครามทั่วโลกกินเวลาตั้งแต่ปีใดถึงปีใด,"สงครามโลกครั้งที่สอง (อังกฤษ: World War II หรือ Second World War[note 1]; มักย่อเป็น WWII หรือ WW2) เป็นสงครามทั่วโลกกินเวลาตั้งแต่ปี 1939 ถึง 1945 ประเทศส่วนใหญ่ในโลกมีส่วนเกี่ยวข้อง รวมทั้งรัฐมหาอำนาจทั้งหมด แบ่งเป็นพันธมิตรทางทหารคู่สงครามสองฝ่าย คือ ฝ่ายสัมพันธมิตรและฝ่ายอักษะ เป็นสงครามที่กว้างขวางที่สุดในประวัติศาสตร์ มีทหารกว่า 100 ล้านนายจากกว่า 30 ประเทศเข้าร่วมโดยตรง สงครามนี้มีลักษณะเป็น ""สงครามเบ็ดเสร็จ"" คือ ประเทศผู้ร่วมสงครามหลัก"
1155000,545254,คือ ฝ่ายสัมพันธมิตรและฝ่ายอักษะ,250,281,สงครามโลกครั้งที่สองแบ่งเป็นพันธมิตรทางทหารคู่สงครามสองฝ่าย ได้แก่,"สงครามโลกครั้งที่สอง (อังกฤษ: World War II หรือ Second World War[note 1]; มักย่อเป็น WWII หรือ WW2) เป็นสงครามทั่วโลกกินเวลาตั้งแต่ปี 1939 ถึง 1945 ประเทศส่วนใหญ่ในโลกมีส่วนเกี่ยวข้อง รวมทั้งรัฐมหาอำนาจทั้งหมด แบ่งเป็นพันธมิตรทางทหารคู่สงครามสองฝ่าย คือ ฝ่ายสัมพันธมิตรและฝ่ายอักษะ เป็นสงครามที่กว้างขวางที่สุดในประวัติศาสตร์ มีทหารกว่า 100 ล้านนายจากกว่า 30 ประเทศเข้าร่วมโดยตรง สงครามนี้มีลักษณะเป็น ""สงครามเบ็ดเสร็จ"" คือ ประเทศผู้ร่วมสงครามหลักทุ่มขีดความสามารถทางเศรษฐกิจ อุตสาหกรรมและวิทยาศาสตร์ทั้งหมดเพื่อความพยายามของสงคราม โดยลบเส้นแบ่งระหว่างทรัพยากรของพลเรือนและทหาร ประ"
1155001,545255,ประเทศสหรัฐอเมริกา,96,114,ดอลลาร์สหรัฐ เป็นสกุลเงินของประเทศอะไร,ดอลลาร์สหรัฐ (อังกฤษ: United States dollar; ในเอกสารเก่าอาจพบการใช้ เหรียญสหรัฐ) เป็นสกุลเงินของประเทศสหรัฐอเมริกา และยังใช้เป็นGBPUSDในหลายประเทศทั่วโลก[1] รหัสสากลคือ ISO 4217 ใช้ตัวย่อว่า USD และสัญลักษณ์ $ โดย 1 ดอลลาร์สหรัฐอัตราแลกเปลี่ยนราว 35.11 บาท (อัตราแลกเปลี่ยน ณ วันที่ 14 มิถุนายน 2565)[2]
